,站號,站名,站種,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
455,C0V820,小林,局屬自動站,441.0,120.63325,23.148408,高雄市,甲仙區五里路24-2號（小林國小）,2018-12-20,,,,
456,C0V840,鳳鼻頭,局屬自動站,35.0,120.3591,22.5083,高雄市,小港區南星路107號,2022-12-26,,,,
457,C0V850,蚵仔寮,局屬自動站,22.0,120.2527,22.7256,高雄市,梓官區信蚵里廣澤路100號,2022-12-26,,,,
458,C0V860,南寮,局屬自動站,10.0,120.2339,22.7616,高雄市,彌陀區南寮里漁港1街62號,2022-12-26,,,,
459,C0V870,文安,局屬自動站,23.0,120.2164,22.8025,高雄市,彌陀區舊港橫路87號,2022-12-26,,,,
460,C0V880,興達,局屬自動站,19.0,120.2127,22.8778,高雄市,茄萣區順漁路100號,2022-12-26,,,,
461,C0V890,前鎮,局屬自動站,25.0,120.3117,22.5718,高雄市,前鎮區漁港北二路5號,2022-12-26,,,,
462,C0V900,汕尾,局屬自動站,6.0,120.4151,22.4782,高雄市,林園區,2022-12-26,,,,
463,C0W110,東莒,局屬自動站,16.0,119.98069,25.9652,連江縣,莒光鄉福正村1號(福正抽水機房，莒光遊客中心後方),2016-07-01,,,,
464,C0W120,西嶼,局屬自動站,58.0,119.468436,23.5626,澎湖縣,西嶼鄉195號(西嶼燈塔西方),2016-07-01,,,,
